2026-08-18 11:46:01,923-process_name-INFO : 进程6，从redis中取出172个数据,有82个字典参数
2026-08-18 11:46:02,007-process_name-INFO : 进程7，从redis中取出176个数据,有79个字典参数
2026-08-18 11:46:02,163-process_name-INFO : 进程3，从redis中取出175个数据,有79个字典参数
2026-08-18 11:46:02,163-process_name-INFO : 进程5，从redis中取出170个数据,有79个字典参数
2026-08-18 11:46:02,233-process_name-INFO : 进程1，从redis中取出177个数据,有80个字典参数
2026-08-18 11:46:02,271-process_name-INFO : 进程4，从redis中取出168个数据,有91个字典参数
2026-08-18 11:46:02,631-process_name-INFO : {'商品货号': 'HV4479-405', '商品尺寸': 6, '商品价格': 1583.49}提取完成
2026-08-18 11:46:02,631-process_name-INFO : {'商品货号': 'HV4479-405', '商品尺寸': 6.5, '商品价格': 846.0}提取完成
2026-08-18 11:46:02,631-process_name-INFO : {'商品货号': 'HV4479-405', '商品尺寸': 7, '商品价格': 846.0}提取完成
2026-08-18 11:46:02,631-process_name-INFO : {'商品货号': 'HV4479-405', '商品尺寸': 7.5, '商品价格': 846.0}提取完成
2026-08-18 11:46:02,631-process_name-INFO : {'商品货号': 'HV4479-405', '商品尺寸': 8, '商品价格': 846.0}提取完成
2026-08-18 11:46:02,631-process_name-INFO : {'商品货号': 'HV4479-405', '商品尺寸': 8.5, '商品价格': 839.0}提取完成
2026-08-18 11:46:02,632-process_name-INFO : {'商品货号': 'HV4479-405', '商品尺寸': 9, '商品价格': 839.0}提取完成
2026-08-18 11:46:02,632-process_name-INFO : {'商品货号': 'HV4479-405', '商品尺寸': 9.5, '商品价格': 839.0}提取完成
2026-08-18 11:46:02,632-process_name-INFO : {'商品货号': 'HV4479-405', '商品尺寸': 10, '商品价格': 846.0}提取完成
2026-08-18 11:46:02,632-process_name-INFO : {'商品货号': 'HV4479-405', '商品尺寸': 10.5, '商品价格': 975.0}提取完成
2026-08-18 11:46:02,632-process_name-INFO : {'商品货号': 'HV4479-405', '商品尺寸': 11, '商品价格': 995.0}提取完成
2026-08-18 11:46:02,632-process_name-INFO : {'商品货号': 'HV4479-405', '商品尺寸': 11.5, '商品价格': 1348.82}提取完成
2026-08-18 11:46:02,632-process_name-INFO : {'商品货号': 'HV4479-405', '商品尺寸': 12, '商品价格': 1159.0}提取完成
2026-08-18 11:46:02,632-process_name-INFO : {'商品货号': 'HV4479-405', '商品尺寸': 12.5, '商品价格': 1811.13}提取完成
2026-08-18 11:46:02,632-process_name-INFO : {'商品货号': 'HV4479-405', '商品尺寸': 13, '商品价格': 1638.65}提取完成
2026-08-18 11:46:02,632-process_name-INFO : {'商品货号': 'HV4479-405', '商品尺寸': 14, '商品价格': 1905.4}提取完成
2026-08-18 11:46:02,632-process_name-INFO : {'商品货号': 'HV4479-405', '商品尺寸': 15, '商品价格': 3253.22}提取完成
2026-08-18 11:46:02,632-process_name-INFO : 货号HV4479-405解析失败: module 'utils.logger' has no attribute 'et_logger'
2026-08-18 11:46:02,692-process_name-INFO : {'商品货号': 'JA3822-010', '商品尺寸': 6, '商品价格': 1583.49}提取完成
2026-08-18 11:46:02,692-process_name-INFO : {'商品货号': 'JA3822-010', '商品尺寸': 6.5, '商品价格': 846.0}提取完成
2026-08-18 11:46:02,692-process_name-INFO : {'商品货号': 'JA3822-010', '商品尺寸': 7, '商品价格': 846.0}提取完成
2026-08-18 11:46:02,692-process_name-INFO : {'商品货号': 'JA3822-010', '商品尺寸': 7.5, '商品价格': 846.0}提取完成
2026-08-18 11:46:02,692-process_name-INFO : {'商品货号': 'JA3822-010', '商品尺寸': 8, '商品价格': 846.0}提取完成
2026-08-18 11:46:02,692-process_name-INFO : {'商品货号': 'JA3822-010', '商品尺寸': 8.5, '商品价格': 839.0}提取完成
2026-08-18 11:46:02,692-process_name-INFO : {'商品货号': 'JA3822-010', '商品尺寸': 9, '商品价格': 839.0}提取完成
2026-08-18 11:46:02,692-process_name-INFO : {'商品货号': 'JA3822-010', '商品尺寸': 9.5, '商品价格': 839.0}提取完成
2026-08-18 11:46:02,692-process_name-INFO : {'商品货号': 'JA3822-010', '商品尺寸': 10, '商品价格': 846.0}提取完成
2026-08-18 11:46:02,692-process_name-INFO : {'商品货号': 'JA3822-010', '商品尺寸': 10.5, '商品价格': 975.0}提取完成
2026-08-18 11:46:02,692-process_name-INFO : {'商品货号': 'JA3822-010', '商品尺寸': 11, '商品价格': 995.0}提取完成
2026-08-18 11:46:02,692-process_name-INFO : {'商品货号': 'JA3822-010', '商品尺寸': 11.5, '商品价格': 1348.82}提取完成
2026-08-18 11:46:02,692-process_name-INFO : {'商品货号': 'JA3822-010', '商品尺寸': 12, '商品价格': 1159.0}提取完成
2026-08-18 11:46:02,692-process_name-INFO : {'商品货号': 'JA3822-010', '商品尺寸': 12.5, '商品价格': 1811.13}提取完成
2026-08-18 11:46:02,692-process_name-INFO : {'商品货号': 'JA3822-010', '商品尺寸': 13, '商品价格': 1638.65}提取完成
2026-08-18 11:46:02,692-process_name-INFO : {'商品货号': 'JA3822-010', '商品尺寸': 14, '商品价格': 1905.4}提取完成
2026-08-18 11:46:02,692-process_name-INFO : {'商品货号': 'JA3822-010', '商品尺寸': 15, '商品价格': 3253.22}提取完成
2026-08-18 11:46:02,692-process_name-INFO : 货号JA3822-010解析失败: module 'utils.logger' has no attribute 'et_logger'
2026-08-18 11:46:02,833-process_name-INFO : {'商品货号': '553558-046', '商品尺寸': 7, '商品价格': 846.0}提取完成
2026-08-18 11:46:02,833-process_name-INFO : {'商品货号': '553558-046', '商品尺寸': 7.5, '商品价格': 839.0}提取完成
2026-08-18 11:46:02,833-process_name-INFO : {'商品货号': '553558-046', '商品尺寸': 8, '商品价格': 846.0}提取完成
2026-08-18 11:46:02,833-process_name-INFO : {'商品货号': '553558-046', '商品尺寸': 8.5, '商品价格': 839.0}提取完成
2026-08-18 11:46:02,833-process_name-INFO : {'商品货号': '553558-046', '商品尺寸': 9, '商品价格': 846.0}提取完成
2026-08-18 11:46:02,833-process_name-INFO : {'商品货号': '553558-046', '商品尺寸': 9.5, '商品价格': 852.0}提取完成
2026-08-18 11:46:02,833-process_name-INFO : {'商品货号': '553558-046', '商品尺寸': 10, '商品价格': 852.0}提取完成
2026-08-18 11:46:02,833-process_name-INFO : {'商品货号': '553558-046', '商品尺寸': 10.5, '商品价格': 839.0}提取完成
2026-08-18 11:46:02,833-process_name-INFO : {'商品货号': '553558-046', '商品尺寸': 11, '商品价格': 914.0}提取完成
2026-08-18 11:46:02,833-process_name-INFO : {'商品货号': '553558-046', '商品尺寸': 11.5, '商品价格': 1500.0}提取完成
2026-08-18 11:46:02,833-process_name-INFO : {'商品货号': '553558-046', '商品尺寸': 12, '商品价格': 1166.0}提取完成
2026-08-18 11:46:02,833-process_name-INFO : {'商品货号': '553558-046', '商品尺寸': 12.5, '商品价格': 1783.13}提取完成
2026-08-18 11:46:02,833-process_name-INFO : {'商品货号': '553558-046', '商品尺寸': 13, '商品价格': 1179.0}提取完成
2026-08-18 11:46:02,833-process_name-INFO : {'商品货号': '553558-046', '商品尺寸': 14, '商品价格': 1173.0}提取完成
2026-08-18 11:46:02,833-process_name-INFO : {'商品货号': '553558-046', '商品尺寸': 15, '商品价格': 1166.0}提取完成
2026-08-18 11:46:02,833-process_name-INFO : 货号553558-046解析失败: module 'utils.logger' has no attribute 'et_logger'
2026-08-18 11:46:02,848-process_name-INFO : {'商品货号': 'DD0587-008', '商品尺寸': 7, '商品价格': 846.0}提取完成
2026-08-18 11:46:02,849-process_name-INFO : {'商品货号': 'DD0587-008', '商品尺寸': 7.5, '商品价格': 839.0}提取完成
2026-08-18 11:46:02,849-process_name-INFO : {'商品货号': 'DD0587-008', '商品尺寸': 8, '商品价格': 846.0}提取完成
2026-08-18 11:46:02,849-process_name-INFO : {'商品货号': 'DD0587-008', '商品尺寸': 8.5, '商品价格': 839.0}提取完成
2026-08-18 11:46:02,849-process_name-INFO : {'商品货号': 'DD0587-008', '商品尺寸': 9, '商品价格': 846.0}提取完成
2026-08-18 11:46:02,849-process_name-INFO : {'商品货号': 'DD0587-008', '商品尺寸': 9.5, '商品价格': 852.0}提取完成
2026-08-18 11:46:02,849-process_name-INFO : {'商品货号': 'DD0587-008', '商品尺寸': 10, '商品价格': 852.0}提取完成
2026-08-18 11:46:02,849-process_name-INFO : {'商品货号': 'DD0587-008', '商品尺寸': 10.5, '商品价格': 839.0}提取完成
2026-08-18 11:46:02,849-process_name-INFO : {'商品货号': 'DD0587-008', '商品尺寸': 11, '商品价格': 914.0}提取完成
2026-08-18 11:46:02,849-process_name-INFO : {'商品货号': 'DD0587-008', '商品尺寸': 11.5, '商品价格': 1500.0}提取完成
2026-08-18 11:46:02,849-process_name-INFO : {'商品货号': 'DD0587-008', '商品尺寸': 12, '商品价格': 1166.0}提取完成
